"H","L0601","051","646762","Purchase History","2",,,,,,,,,,,,,,,,,,,,,,
"F","SUPC","Case Qty","Split Qty","Code","Item Status","Replaced Item","Pack","Size","Unit","Brand","Mfr #","Desc","Cat","Case $","Split $","Per Lb","Market","Splittable","Splits","Min Split","Net Wt","Lead Time","Stock","Substitute","Agr",,
"P","5757184",,,,,,"1","15 LB","LB","SYSCO RELIANCE","10139680896","Bacon Slab 14-18 Per Pound Hickory Smoked Gas Flushed","Meats",61.79,,"N",,false,,0,15,,"STOCKED",,"N",,
"P","4267274",,,,,,"1","50 LB","LB","GOLD MEDAL (GEN MILLS)","14314000","Flour Hotel & Restaurant All Purpose","Canned & Dry",20.95,,"N",,false,,0,50,,"STOCKED",,"N",,
"P","7338945",,,,,,"12","14 OZ","OZ","WHOLESOME FARMS CLASSIC","1018136","Topping Cold Foam Sweet Cream Arsl","Dairy",43.24,,"N",,false,,0,10.5,,"STOCKED",,"N",,
"P","7024961",,,,,,"6","5 LB",,"SYSCO CLASSIC","SYC00269","Potato Fry 5/16"" Grade A","Frozen",42.29,,"N",,false,,0,30,,"STOCKED",,"N",,
"P","1310768",,,,,,"4","50 OZ","OZ","GENERAL MILLS","37854000","Cereal Granola Oats 'n Honey Parfait","Canned & Dry",81.95,,"N",,false,,0,12.5,,"STOCKED",,"N",,
"P","7100285",,,,,,"384","9 ML","ML","CITAVO CLASSIC","1012079","Creamer Coffee Citavo Non Dairy Original","Dairy",23.71,,"N",,false,,0,7.97,,"STOCKED",,"N",,
"P","7110474",,,,,,"6","17 OZ","OZ","SYSCO IMPERIAL","8935603174","Pan Coating Canola Non-gmo","Canned & Dry",34.95,,"N",,false,,0,6.375,,"STOCKED",,"N",,
"P","7211876",,,,,,"2","5 LB","LB","TYSON RED LABEL","10000055457","Chicken Brst Brd Crspy  Raw","Poultry",52.85,,"N",,false,,0,10,,"STOCKED",,"N",,
"P","1048230",,,,,,"1","10 LB","LB","PROPACK","","Pepper Jalapeno Fresh","Produce",32.5,,"N",,false,,0,10,,"STOCKED",,"N",,
"P","2210310",,,,,,"24","12 OZ","OZ","MAINE ROOT  (BEVERAGE)","","Soda Root Beer","Canned & Dry",40.69,,"N",,false,,0,18,,"STOCKED",,"N",,
"P","4552087",,,,,,"6",".5 GAL",,"EMERICK'S (SYRUP)","494668","Syrup Maple Dark Grade A","Canned & Dry",247.45,47.79,"N",,true,,1,35,,"STOCKED",,"N",,
"P","1159946",,,,,,"4","5 LB","LB","BLOCK & BARREL IMPERIAL","2928C4","Cheese Cheddar Sharp Feather Shredded Yellow","Dairy",60.95,17.95,"N",,true,,1,20,,"STOCKED",,"N",,
"P","9008483",,,,,,"6","5 LB","LB","ARREZZIO IMPERIAL","100764","Cheese Mozzarella Low Moisture Whole Milk Shredded","Dairy",65.54,12.87,"N",,true,,1,30,,"STOCKED",,"N",,
"P","1064922",,,,,,"3","3-4#AV","LB","HORMEL","37648","Pepperoni Stick Leoni","Meats",6.695,,"Y",,false,,0,9.625,,"STOCKED",,"N",,
"P","5096508",,,,,,"6","#10","CAN","SYSCO IMPERIAL","SYIIS9F","Sauce Pizza With Basil Midwest","Canned & Dry",41.55,,"N",,false,,0,39.375,,"STOCKED",,"N",,
"P","5779172",,,,,,"12","2 LB","LB","FLEISCHMANS","2192","Yeast Active Dry","Canned & Dry",135.45,12.79,"N",,true,,1,24,,"STOCKED",,"N",,
"P","8747859",,,,,,"1000","9GM","G","HOUSE RECIPE IMPERIAL","HOUY59G","Ketchup Packet Fancy Foil","Canned & Dry",32.96,,"N",,false,,0,20,,"STOCKED",,"N",,
"P","1008507",,,,,,"1","50 LB","LB","IMPERIAL FRESH","","Potato Baking Russet 70 Count-fresh","Produce",20.41,,"N",,false,,0,50,,"STOCKED",,"N",,
"P","1854694",,,,,,"1","25LB","LB","SYSCO CLASSIC","404347","Sugar Brown Light Cane","Canned & Dry",34.95,,"N",,false,,0,25,,"STOCKED",,"N",,
"P","1346279",,,,,,"1","30 LB","LB","SYSCO CLASSIC","4002","Blueberry Cult Iqf Grade A","Frozen",69.85,,"N",,false,,0,30,,"STOCKED",,"N",,
"P","7172745",,,,,,"20","2 LB","LB","EAGLE SNACKS","1002-40","Yeast Active Fresh","Canned & Dry",,6.69,"N",,true,,1,40,,"STOCKED",,"N",,
"P","7192668",,,,,,"24","8 OZ","OZ","WHOLESOME FARMS CLASSIC","1016237","Milk Whole Btl Esl","Dairy",25.69,,"N",,false,,0,12.9,,"STOCKED",,"N",,
"P","5287285",,,,,,"1","5 GAL","GAL","BLOCK & BARREL CLASSIC","301725","Pickle Spear Kosher 275/325 Count Refrigerated","Canned & Dry",51.85,,"N",,false,,0,45.475,,"STOCKED",,"N",,
"P","5573544",,,,,,"4","5 LB","LB","CERTIFIED ANGUS BEEF","D0386QX","Beef Ground Chuck 81/19 Chub Frs","Meats",106.77,,"N",,false,,0,20,,"STOCKED",,"N",,
"P","5083936",,,,,,"6",".5 GAL","GAL","SYSCO IMPERIAL","10111157","Cherry Maraschino Halves In Plastic Jar","Canned & Dry",134.95,24.99,"N",,true,,1,27,,"STOCKED",,"N",,
"P","6040760",,,,,,"12","3LB","LB","SYSCO CLASSIC","100012745","Salt Kosher Flake Coarse","Canned & Dry",43.38,,"N",,false,,0,37.1,,"STOCKED",,"N",,
"P","5517701",,,,,,"6","5 LB","LB","SYSCO CLASSIC","","Powder Baking Double Acting","Canned & Dry",115.59,21.55,"N",,true,,1,30,,"STOCKED",,"N",,
"P","5861972",,,,,,"6","20 CT","CT","TWINING TEA","F06337","Tea Bag Peppermint Pure","Canned & Dry",24.45,,"N",,false,,0,1.16,,"REMOTE",,"N",,
"P","6317838",,,,,,"4","5 LB","LB","IMPERIAL FRESH","40601","Cabbage Greens Shredded With Carrots .1875""","Produce",33.43,9.9,"N",,true,,1,19.8,,"STOCKED",,"N",,
"P","4752461",,,,,,"3","#10","LB","LUCKY LEAF","FFPFP2642LKL01","Filling Pie Cherry Premium Cane","Canned & Dry",89.99,,"N",,false,,0,21.75,,"STOCKED",,"N",,
"P","5102736",,,,,,"12","5OZ","OZ","TABASCO","00028","Sauce Tabasco Hot","Canned & Dry",45.95,,"N",,false,,0,3.8,,"STOCKED",,"N",,
"P","9996075",,,,,,"4","5 LB",,"IMPERIAL FRESH","","Cabbage Greens Fine Shredded With Bag","Produce",33.47,9.94,"N",,true,,1,20,,"STOCKED",,"N",,
"P","7230068",,,,,,"72","2 OZ","OZ","BAKER'S SOURCE CLASSIC","237687","Muffin English Frk Split Plain","Frozen",22.79,,"N",,false,,0,9,,"STOCKED",,"N",,
"P","1073402",,,,,,"1","15LB","LB","SYSCO RELIANCE","16080570895","Bacon Layflat 18-22 Per # Smoked","Meats",61.59,,"N",,false,,0,15,,"STOCKED",,"N",,
"P","1161181",,,,,,"1","30 LB","LB","WHOLESOME FARMS IMPERIAL","STK11773","Cheese Cream Bulk","Dairy",62.26,,"N",,false,,0,30,,"STOCKED",,"N",,
"P","2565539",,,,,,"2","20LB","LB","WHOLESOME FARMS CLASSIC","74865-35081-00","Egg Whole Liquid Fresh With Citric Acid","Dairy",66.91,,"N",,false,,0,40,,"STOCKED",,"N",,
